gsc_url,normalized_url,inventory_match,current_http_status,current_canonical,current_sitemap_status,clicks_3m,impressions_3m,queries,current_page_family,notes
https://echobuddha.com/learn/buddhist-dictionary/sutta/,https://echobuddha.com/learn/buddhist-dictionary/sutta/,true,200,https://echobuddha.com/learn/buddhist-dictionary/sutta/,true,0,27,NOT_AVAILABLE_IN_PAGE_AGGREGATE,DICTIONARY_ENTRY,Matched after deterministic URL normalization.
https://echobuddha.com/quotes/,https://echobuddha.com/quotes/,true,200,https://echobuddha.com/quotes/,true,0,23,NOT_AVAILABLE_IN_PAGE_AGGREGATE,QUOTE_HUB,Matched after deterministic URL normalization.
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,true,200,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,true,0,23,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ARTICLE,Matched after deterministic URL normalization.
https://echobuddha.com/meditation-guide/,https://echobuddha.com/meditation-guide/,true,200,https://echobuddha.com/meditation-guide/,true,0,21,NOT_AVAILABLE_IN_PAGE_AGGREGATE,MEDITATION_GUIDE,Matched after deterministic URL normalization.
https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,true,200,https://echobuddha.com/learn/eightfold-path/,true,0,21,NOT_AVAILABLE_IN_PAGE_AGGREGATE,LEARN_GUIDE,Matched after deterministic URL normalization.
https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/,true,200,https://echobuddha.com/quotes/awareness/,true,0,20,NOT_AVAILABLE_IN_PAGE_AGGREGATE,QUOTE_CATEGORY,Matched after deterministic URL normalization.
https://echobuddha.com/about/,https://echobuddha.com/about/,true,200,https://echobuddha.com/about/,true,0,19,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ABOUT,Matched after deterministic URL normalization.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,true,200,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,true,0,17,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ARTICLE,Matched after deterministic URL normalization.
https://echobuddha.com/articles/,https://echobuddha.com/articles/,true,200,https://echobuddha.com/articles/,true,0,17,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ARTICLE_HUB,Matched after deterministic URL normalization.
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,true,200,https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,true,0,16,NOT_AVAILABLE_IN_PAGE_AGGREGATE,BUDDHISM_101,Matched after deterministic URL normalization.
https://echobuddha.com/quotes/meditation/,https://echobuddha.com/quotes/meditation/,true,200,https://echobuddha.com/quotes/meditation/,true,0,14,NOT_AVAILABLE_IN_PAGE_AGGREGATE,QUOTE_CATEGORY,Matched after deterministic URL normalization.
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,true,200,https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,true,0,13,NOT_AVAILABLE_IN_PAGE_AGGREGATE,DICTIONARY_ENTRY,Matched after deterministic URL normalization.
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,true,200,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,true,0,12,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ARTICLE,Matched after deterministic URL normalization.
https://echobuddha.com/quotes/practice/,https://echobuddha.com/quotes/practice/,true,200,https://echobuddha.com/quotes/practice/,true,0,11,NOT_AVAILABLE_IN_PAGE_AGGREGATE,QUOTE_CATEGORY,Matched after deterministic URL normalization.
https://echobuddha.com/mindful-living/,https://echobuddha.com/mindful-living/,true,200,https://echobuddha.com/mindful-living/,true,0,11,NOT_AVAILABLE_IN_PAGE_AGGREGATE,TOPIC_HUB,Matched after deterministic URL normalization.
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,true,200,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,true,0,11,NOT_AVAILABLE_IN_PAGE_AGGREGATE,BUDDHISM_101,Matched after deterministic URL normalization.
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,true,200,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,true,0,11,NOT_AVAILABLE_IN_PAGE_AGGREGATE,BUDDHISM_101,Matched after deterministic URL normalization.
https://echobuddha.com/articles/three-ways-to-practice-patience/,https://echobuddha.com/articles/three-ways-to-practice-patience/,true,200,https://echobuddha.com/articles/three-ways-to-practice-patience/,true,0,10,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ARTICLE,Matched after deterministic URL normalization.
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,true,200,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,true,0,10,NOT_AVAILABLE_IN_PAGE_AGGREGATE,BUDDHISM_101,Matched after deterministic URL normalization.
https://echobuddha.com/daily-reflections/today/,https://echobuddha.com/daily-reflections/today/,true,200,https://echobuddha.com/daily-reflections/today/,false,0,10,NOT_AVAILABLE_IN_PAGE_AGGREGATE,REFLECTION,Matched after deterministic URL normalization.
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,true,200,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,true,0,10,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ARTICLE,Matched after deterministic URL normalization.
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,true,200,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,true,0,10,NOT_AVAILABLE_IN_PAGE_AGGREGATE,BUDDHISM_101,Matched after deterministic URL normalization.
https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/learn/buddhist-dictionary/metta/,true,200,https://echobuddha.com/learn/buddhist-dictionary/metta/,true,0,10,NOT_AVAILABLE_IN_PAGE_AGGREGATE,DICTIONARY_ENTRY,Matched after deterministic URL normalization.
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,true,200,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,true,0,9,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ARTICLE,Matched after deterministic URL normalization.
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,true,200,https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,false,0,9,NOT_AVAILABLE_IN_PAGE_AGGREGATE,QUOTE_STORY,Matched after deterministic URL normalization.
https://echobuddha.com/quotes/wisdom/,https://echobuddha.com/quotes/wisdom/,true,200,https://echobuddha.com/quotes/wisdom/,true,0,9,NOT_AVAILABLE_IN_PAGE_AGGREGATE,QUOTE_CATEGORY,Matched after deterministic URL normalization.
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,true,200,https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,true,0,9,NOT_AVAILABLE_IN_PAGE_AGGREGATE,BUDDHISM_101,Matched after deterministic URL normalization.
https://echobuddha.com/articles/what-is-karma-in-buddhism/,https://echobuddha.com/articles/what-is-karma-in-buddhism/,true,200,https://echobuddha.com/articles/what-is-karma-in-buddhism/,true,0,9,NOT_AVAILABLE_IN_PAGE_AGGREGATE,ARTICLE,Matched after deterministic URL normalization.
