URL,inventory_url_id,verdict,coverage_state,robots_state,indexing_state,last_crawl_time,page_fetch_state,google_canonical,user_canonical,canonical_agreement,sitemap_membership_reported_by_google,referring_urls,crawler,inspection_timestamp,api_result_link,confidence,error
https://echobuddha.com/articles/category/practice/,url_e0ad470646dc7e3b,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-09T02:29:33Z,SUCCESSFUL,https://echobuddha.com/articles/category/practice/,https://echobuddha.com/articles/category/practice/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/category/reflection/,url_ef886a2a006ca6b7,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-14T16:56:53Z,SUCCESSFUL,https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/category/reflection/,GOOGLE_USER_CANONICAL_AGREE,,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,url_264386eee735eef0,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-08T01:39:56Z,SUCCESSFUL,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,url_a84fd88395b758fc,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-18T16:55:09Z,SUCCESSFUL,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/compassion-with-boundaries/,url_956c8e4ac4f7d60b,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-06T11:04:10Z,SUCCESSFUL,https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-with-boundaries/,GOOGLE_USER_CANONICAL_AGREE,,https://echobuddha.com/quotes/impermanence/,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,url_a38a0ae1179f8ac8,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-08T12:11:13Z,SUCCESSFUL,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,GOOGLE_USER_CANONICAL_AGREE,,https://echobuddha.com/sitemap.xml,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/dhamma-vs-dharma/,url_ba5a07405251e210,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-06T11:04:20Z,SUCCESSFUL,https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,https://echobuddha.com/quotes/impermanence/,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,url_edb3758fd06e6386,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-05T06:57:44Z,SUCCESSFUL,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,url_e7620ddc04954ad4,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-19T03:46:28Z,SUCCESSFUL,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,url_23caa633307bf18d,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-06T16:46:09Z,SUCCESSFUL,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/eightfold-path-explained/,url_f4f70d39d41333bf,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-18T06:06:44Z,SUCCESSFUL,https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/articles/eightfold-path-explained/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,url_b1915f70b231c6dc,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-28T05:01:09Z,SUCCESSFUL,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,GOOGLE_USER_CANONICAL_AGREE,,https://echobuddha.com/sitemap.xml,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
